model,wizard.report.purchase.summary,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,,,,False,version 1
2,display_name,char,,Display Name,,,,False,version 1
3,end_date,date,,End Date,,,,True,version 1
4,__last_update,datetime,,Last Modified on,,,,False,version 1
5,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
6,write_date,datetime,,Last Updated on,,,,False,version 1
7,id,integer,,ID,,,,False,version 1
8,create_date,datetime,,Created on,,,,False,version 1
9,partner_id,many2one,res.partner,Customer,,,,False,version 1
10,start_date,date,,Start Date,,,,True,version 1
,,,,
,,,,
