model,res.city.ongkir,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,province,char,,Province,,,,False,version 1
2,create_uid,many2one,res.users,Created by,,,,False,version 1
3,display_name,char,,Name,,,,False,version 1
4,name,char,,Name,,,,False,version 1
5,zip,char,,ZIP,,,,False,version 1
6,__last_update,datetime,,Last Modified on,,,,False,version 1
7,city_id,char,,City Code,,,,False,version 1
8,country_id,many2one,res.country,Country,,,,False,version 1
9,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
10,create_date,datetime,,Created on,,,,False,version 1
11,postal_code,char,,Postal code,,,,False,version 1
12,write_date,datetime,,Last Updated on,,,,False,version 1
13,state_id,many2one,res.country.state,State,,,,False,version 1
14,city_name,char,,City Name,,,,False,version 1
15,area_ids,many2many,area.category,Area ids,,,,False,version 1
16,province_id,char,,Province id,,,,False,version 1
17,type,char,,type,,,,False,version 1
18,id,integer,,ID,,,,False,version 1
,,,,
,,,,
