model,product.style,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,html_class,char,,HTML Classes,,,,False,version 1
2,create_uid,many2one,res.users,Created by,,,,False,version 1
3,create_date,datetime,,Created on,,,,False,version 1
4,name,char,,Style Name,,,,True,version 1
5,__last_update,datetime,,Last Modified on,,,,False,version 1
6,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
7,write_date,datetime,,Last Updated on,,,,False,version 1
8,display_name,char,,Display Name,,,,False,version 1
9,id,integer,,ID,,,,False,version 1
,,,,
,,,,
