model,payment.icon,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,,,,many2one,res.users,Created by,False,version 2
2,display_name,,,,char,,Display Name,False,version 2
3,name,,,,char,,Name,False,version 2
4,__last_update,,,,datetime,,Last Modified on,False,version 2
5,image,,,,binary,,Image,False,version 2
6,write_uid,,,,many2one,res.users,Last Updated by,False,version 2
7,write_date,,,,datetime,,Last Updated on,False,version 2
8,create_date,,,,datetime,,Created on,False,version 2
9,image_payment_form,,,,binary,,Image displayed on the payment form,False,version 2
10,id,,,,integer,,ID,False,version 2
11,acquirer_ids,,,,many2many,payment.acquirer,Acquirers,False,version 2
,,,,
,,,,
