model,account.tax.report,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,,,,many2one,res.users,Created by,False,version 2
2,display_name,,,,char,,Display Name,False,version 2
3,name,,,,char,,Name,True,version 2
4,__last_update,,,,datetime,,Last Modified on,False,version 2
5,root_line_ids,,,,one2many,account.tax.report.line,Root Report Lines,False,version 2
6,country_id,,,,many2one,res.country,Country,True,version 2
7,write_uid,,,,many2one,res.users,Last Updated by,False,version 2
8,create_date,,,,datetime,,Created on,False,version 2
9,write_date,,,,datetime,,Last Updated on,False,version 2
10,line_ids,,,,one2many,account.tax.report.line,Report Lines,False,version 2
11,id,,,,integer,,ID,False,version 2
,,,,
,,,,
